,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
7,7,opuwo,0,,1558378523,23,-18.06,13.84,72.06,5.44
26,26,colonelganj,0,IN,1558378759,14,27.13,81.7,94.2,5.08
70,70,ponta do sol,0,BR,1558378767,57,-20.63,-46,73.68,5.32
88,88,cidreira,0,BR,1558378770,66,-30.17,-50.22,76.56,5.5
125,125,arraial do cabo,0,BR,1558378491,78,-22.97,-42.02,84.2,4.7
138,138,morondava,0,MG,1558378780,69,-20.3,44.28,79.08,9.06
139,139,vaini,0,IN,1558378780,88,15.34,74.49,78.9,1.59
142,142,sarai mir,0,IN,1558378781,35,26.02,82.92,86,3.36
176,176,nador,0,MA,1558378499,40,35.17,-2.93,75.2,6.93
244,244,pasni,0,PK,1558378823,52,25.26,63.48,86.82,9.17
297,297,mogok,0,MM,1558378844,51,22.92,96.51,72.24,2.77
316,316,gunjur,0,GM,1558378848,61,13.18,-16.76,80.6,9.17
416,416,kirkuk,0,IQ,1558378874,16,35.47,44.4,86.82,7.36
444,444,birjand,0,IR,1558378880,26,32.86,59.22,71.6,9.17
518,518,bonito,0,BR,1558378893,49,-21.13,-56.49,84.3,7.72
527,527,tomatlan,0,MX,1558378894,59,19.93,-105.25,84.66,7.9
543,543,yabrud,0,SY,1558378840,32,33.97,36.66,80.6,8.05
